x,y,V,t
20617.5,4798.83,356.93,61.34
20620.2,4796.55,356.961,61.35
20623,4794.26,356.992,61.36
20625.7,4791.98,357.022,61.37
20628.5,4789.69,357.053,61.38
20631.2,4787.41,357.084,61.39
20634,4785.12,357.115,61.4
20636.7,4782.83,357.146,61.41
20639.5,4780.54,357.177,61.42
20642.2,4778.25,357.208,61.43
20645,4775.96,357.239,61.44
20647.7,4773.67,357.27,61.45
20650.5,4771.38,357.301,61.46
20653.2,4769.09,357.332,61.47
20655.9,4766.79,357.363,61.48
20658.7,4764.5,357.394,61.49
20661.4,4762.21,357.425,61.5
20664.2,4759.91,357.456,61.51
20666.9,4757.61,357.487,61.52
20669.7,4755.32,357.518,61.53
20672.4,4753.02,357.549,61.54
20675.2,4750.72,357.58,61.55
20677.9,4748.42,357.611,61.56
20680.7,4746.12,357.641,61.57
20683.4,4743.82,357.672,61.58
20686.1,4741.52,357.703,61.59
20688.9,4739.21,357.734,61.6
20691.6,4736.91,357.764,61.61
20694.4,4734.61,357.795,61.62
20697.1,4732.3,357.826,61.63
20699.9,4729.99,357.857,61.64
20702.6,4727.69,357.888,61.65
20705.3,4725.38,357.918,61.66
20708.1,4723.07,357.949,61.67
20710.8,4720.76,357.98,61.68
20713.6,4718.45,358.011,61.69
20716.3,4716.14,358.041,61.7
20719,4713.83,358.072,61.71
20721.8,4711.52,358.103,61.72
20724.5,4709.21,358.134,61.73
20727.3,4706.89,358.165,61.74
20730,4704.58,358.195,61.75
20732.7,4702.26,358.226,61.76
20735.5,4699.95,358.257,61.77
20738.2,4697.63,358.287,61.78
20741,4695.31,358.318,61.79
20743.7,4693,358.349,61.8
20746.4,4690.68,358.379,61.81
20749.2,4688.36,358.41,61.82
20751.9,4686.04,358.441,61.83
20754.6,4683.72,358.471,61.84
20757.4,4681.39,358.502,61.85
20760.1,4679.07,358.532,61.86
20762.9,4676.75,358.563,61.87
20765.6,4674.42,358.594,61.88
20768.3,4672.1,358.624,61.89
20771.1,4669.77,358.655,61.9
20773.8,4667.45,358.685,61.91
20776.5,4665.12,358.716,61.92
20779.3,4662.79,358.747,61.93
20782,4660.46,358.777,61.94
20784.7,4658.13,358.808,61.95
20787.5,4655.8,358.838,61.96
20790.2,4653.47,358.869,61.97
20792.9,4651.14,358.9,61.98
20795.7,4648.8,358.93,61.99
20798.4,4646.47,358.961,62
20801.1,4644.14,358.991,62.01
20803.9,4641.8,359.021,62.02
20806.6,4639.47,359.052,62.03
20809.3,4637.13,359.082,62.04
20812.1,4634.79,359.113,62.05
20814.8,4632.45,359.143,62.06
20817.5,4630.11,359.174,62.07
20820.3,4627.77,359.204,62.08
20823,4625.43,359.234,62.09
20825.7,4623.09,359.265,62.1
20828.5,4620.75,359.295,62.11
20831.2,4618.41,359.326,62.12
20833.9,4616.06,359.356,62.13
20836.7,4613.72,359.386,62.14
20839.4,4611.38,359.417,62.15
20842.1,4609.03,359.447,62.16
20844.8,4606.68,359.478,62.17
20847.6,4604.34,359.508,62.18
20850.3,4601.99,359.539,62.19
20853,4599.64,359.569,62.2
20855.8,4597.29,359.599,62.21
20858.5,4594.94,359.629,62.22
20861.2,4592.59,359.66,62.23
20863.9,4590.24,359.69,62.24
20866.7,4587.88,359.72,62.25
20869.4,4585.53,359.75,62.26
20872.1,4583.17,359.781,62.27
20874.8,4580.82,359.811,62.28
20877.6,4578.46,359.841,62.29
20880.3,4576.11,359.871,62.3
20883,4573.75,359.902,62.31
20885.7,4571.39,359.932,62.32
20888.5,4569.03,359.962,62.33
20891.2,4566.67,359.992,62.34
20893.9,4564.31,360.022,62.35
20896.6,4561.95,360.053,62.36
20899.4,4559.59,360.083,62.37
20902.1,4557.23,360.113,62.38
20904.8,4554.87,360.143,62.39
20907.5,4552.5,360.174,62.4
20910.3,4550.14,360.204,62.41
20913,4547.77,360.234,62.42
20915.7,4545.4,360.264,62.43
20918.4,4543.04,360.294,62.44
20921.1,4540.67,360.324,62.45
20923.9,4538.3,360.354,62.46
20926.6,4535.93,360.384,62.47
20929.3,4533.56,360.414,62.48
20932,4531.19,360.444,62.49
20934.8,4528.82,360.474,62.5
20937.5,4526.45,360.504,62.51
20940.2,4524.07,360.534,62.52
20942.9,4521.7,360.565,62.53
20945.6,4519.32,360.595,62.54
20948.4,4516.95,360.625,62.55
20951.1,4514.57,360.655,62.56
20953.8,4512.2,360.685,62.57
20956.5,4509.82,360.715,62.58
20959.2,4507.44,360.745,62.59
20961.9,4505.06,360.775,62.6
20964.7,4502.68,360.805,62.61
20967.4,4500.3,360.835,62.62
20970.1,4497.92,360.865,62.63
20972.8,4495.54,360.895,62.64
20975.5,4493.15,360.925,62.65
20978.2,4490.77,360.954,62.66
20981,4488.38,360.984,62.67
20983.7,4486,361.014,62.68
20986.4,4483.61,361.044,62.69
20989.1,4481.23,361.074,62.7
20991.8,4478.84,361.104,62.71
20994.5,4476.45,361.133,62.72
20997.3,4474.06,361.163,62.73
21000,4471.67,361.193,62.74
21002.7,4469.28,361.223,62.75
21005.4,4466.89,361.253,62.76
21008.1,4464.5,361.283,62.77
21010.8,4462.1,361.312,62.78
21013.5,4459.71,361.342,62.79
21016.3,4457.32,361.372,62.8
21019,4454.92,361.402,62.81
21021.7,4452.53,361.432,62.82
21024.4,4450.13,361.462,62.83
21027.1,4447.73,361.491,62.84
21029.8,4445.33,361.521,62.85
21032.5,4442.94,361.551,62.86
21035.2,4440.54,361.58,62.87
21037.9,4438.14,361.61,62.88
21040.7,4435.73,361.64,62.89
21043.4,4433.33,361.669,62.9
21046.1,4430.93,361.699,62.91
21048.8,4428.53,361.729,62.92
21051.5,4426.12,361.758,62.93
21054.2,4423.72,361.788,62.94
21056.9,4421.31,361.818,62.95
21059.6,4418.91,361.847,62.96
21062.3,4416.5,361.877,62.97
21065,4414.09,361.906,62.98
21067.7,4411.68,361.936,62.99
21070.5,4409.27,361.966,63
21073.2,4406.86,361.995,63.01
21075.9,4404.45,362.025,63.02
21078.6,4402.04,362.055,63.03
21081.3,4399.63,362.084,63.04
21084,4397.22,362.114,63.05
21086.7,4394.8,362.143,63.06
21089.4,4392.39,362.172,63.07
21092.1,4389.97,362.202,63.08
21094.8,4387.56,362.231,63.09
21097.5,4385.14,362.261,63.1
21100.2,4382.72,362.29,63.11
21102.9,4380.3,362.32,63.12
21105.6,4377.89,362.349,63.13
21108.3,4375.47,362.379,63.14
21111,4373.05,362.408,63.15
21113.7,4370.62,362.437,63.16
21116.4,4368.2,362.467,63.17
21119.1,4365.78,362.496,63.18
21121.8,4363.36,362.526,63.19
21124.5,4360.93,362.555,63.2
21127.2,4358.51,362.584,63.21
21130,4356.08,362.614,63.22
21132.7,4353.66,362.643,63.23
21135.4,4351.23,362.673,63.24
21138.1,4348.8,362.702,63.25
21140.8,4346.37,362.731,63.26
21143.5,4343.94,362.761,63.27
21146.2,4341.51,362.79,63.28
21148.9,4339.08,362.819,63.29
21151.6,4336.65,362.848,63.3
21154.3,4334.22,362.877,63.31
21157,4331.78,362.907,63.32
21159.7,4329.35,362.936,63.33
21162.3,4326.92,362.965,63.34
21165,4324.48,362.994,63.35
21167.7,4322.05,363.024,63.36
21170.4,4319.61,363.053,63.37
21173.1,4317.17,363.082,63.38
21175.8,4314.73,363.111,63.39
21178.5,4312.29,363.14,63.4
21181.2,4309.85,363.17,63.41
21183.9,4307.41,363.199,63.42
21186.6,4304.97,363.228,63.43
21189.3,4302.53,363.257,63.44
21192,4300.09,363.286,63.45
